Price_BRL,Condo_Fee_BRL,Neighbourhood_Aux,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Days_Published
1695000.0,1177.0,Sudoeste,126.0,4.0,2.0,2.0,19.0
325000.0,,Asa Norte,34.0,1.0,1.0,0.0,18.0
1270000.0,690.0,Noroeste,78.0,2.0,2.0,2.0,14.0
1757000.0,,Noroeste,243.0,3.0,5.0,2.0,28.0
1450000.0,1300.0,Asa Norte,182.0,2.0,2.0,2.0,17.0
910000.0,,Sudoeste,75.0,2.0,2.0,1.0,3.0
870000.0,760.0,Asa Norte,67.0,2.0,3.0,1.0,17.0
495000.0,,Noroeste,34.0,1.0,1.0,1.0,14.0
4700000.0,,Asa Norte,373.0,3.0,5.0,4.0,16.0
2583200.0,,Noroeste,155.0,4.0,6.0,3.0,8.0
769000.0,,Octogonal,66.0,2.0,2.0,1.0,4.0
1190000.0,1000.0,Asa Sul,51.0,1.0,1.0,1.0,1.0
890000.0,1000.0,Asa Sul,48.0,1.0,1.0,1.0,6.0
2471000.0,,Noroeste,215.0,4.0,4.0,5.0,18.0
395000.0,325.0,Asa Norte,67.0,1.0,1.0,1.0,27.0
3023960.0,,Noroeste,197.0,4.0,6.0,4.0,5.0
1700000.0,1220.0,Sudoeste,148.0,4.0,4.0,2.0,19.0
2150000.0,1800.0,Asa Sul,239.0,3.0,3.0,1.0,20.0
1550000.0,890.0,Asa Norte,105.0,3.0,2.0,1.0,18.0
787000.0,620.0,Asa Norte,79.0,3.0,2.0,0.0,20.0
2740000.0,,Noroeste,191.0,4.0,5.0,3.0,19.0
2500000.0,,Asa Sul,250.0,3.0,4.0,2.0,14.0
1590000.0,,Park Sul,97.0,3.0,3.0,2.0,19.0
2250000.0,1766.0,Asa Norte,210.0,3.0,4.0,2.0,25.0
590000.0,352.0,Asa Norte,42.0,1.0,1.0,1.0,17.0
334800.0,,Asa Norte,62.0,2.0,1.0,0.0,6.0
310000.0,,Asa Sul,30.0,1.0,1.0,0.0,13.0
1944000.0,,Noroeste,242.0,3.0,4.0,2.0,26.0
2680000.0,1900.0,Asa Norte,345.0,4.0,1.0,2.0,13.0
1200000.0,,Águas Claras,120.0,3.0,2.0,2.0,13.0
2850000.0,1100.0,Asa Sul,177.0,3.0,3.0,0.0,4.0
635000.0,400.0,Asa Sul,70.0,2.0,1.0,0.0,3.0
1150000.0,,Noroeste,64.0,2.0,2.0,1.0,18.0
2200000.0,,Lago Norte,134.0,3.0,3.0,2.0,13.0
3325000.0,,Noroeste,165.0,4.0,5.0,1.0,17.0
2250000.0,1600.0,Noroeste,148.0,3.0,3.0,2.0,21.0
1600000.0,800.0,Noroeste,114.0,3.0,4.0,2.0,1.0
1050000.0,,Asa Sul,124.0,3.0,3.0,0.0,28.0
1880000.0,,Park Sul,119.0,3.0,5.0,2.0,3.0
2490000.0,,Noroeste,130.0,3.0,5.0,2.0,12.0
790000.0,760.0,Asa Norte,72.0,2.0,2.0,1.0,17.0
1387100.0,,Noroeste,86.0,2.0,3.0,2.0,20.0
2200000.0,,Noroeste,156.0,2.0,4.0,6.0,28.0
1950000.0,2000.0,Asa Sul,96.0,2.0,2.0,2.0,17.0
1565000.0,789.0,Sudoeste,108.0,3.0,3.0,1.0,2.0
295000.0,,Setor Habitacional Jardins Mangueiral,52.0,2.0,1.0,1.0,1.0
1099000.0,1250.0,Águas Claras,153.0,3.0,4.0,2.0,15.0
2830000.0,,Noroeste,169.0,4.0,5.0,3.0,17.0
880000.0,1000.0,Asa Sul,47.0,1.0,1.0,1.0,4.0
345000.0,585.0,Asa Norte,32.0,1.0,1.0,0.0,6.0
795000.0,970.0,Asa Sul,53.0,1.0,2.0,2.0,20.0
1180000.0,880.0,Noroeste,74.0,2.0,3.0,2.0,13.0
2900000.0,,Noroeste,172.0,4.0,6.0,3.0,14.0
1780000.0,1300.0,Asa Sul,243.0,4.0,4.0,0.0,10.0
589000.0,600.0,Lago Norte,57.0,2.0,2.0,1.0,4.0
2761000.0,,Noroeste,204.0,4.0,6.0,5.0,25.0
495000.0,457.0,Noroeste,34.0,1.0,1.0,1.0,17.0
1220000.0,,Sudoeste,80.0,2.0,3.0,1.0,20.0
1269999.0,1050.0,Asa Sul,107.0,3.0,3.0,1.0,9.0
269000.0,390.0,Sudoeste,28.0,1.0,1.0,1.0,5.0
2190000.0,,Noroeste,126.0,3.0,4.0,2.0,26.0
1680000.0,1200.0,Sudoeste,145.0,3.0,3.0,1.0,26.0
740000.0,667.0,Asa Norte,78.0,3.0,1.0,0.0,25.0
749000.0,,Octogonal,62.0,2.0,2.0,2.0,27.0
1193415.0,,Noroeste,143.0,2.0,2.0,1.0,26.0
1880000.0,1200.0,Noroeste,154.0,2.0,3.0,2.0,22.0
1290000.0,1495.0,Asa Norte,120.0,4.0,3.0,1.0,21.0
1150000.0,700.0,Asa Norte,80.0,2.0,3.0,1.0,1.0
2800000.0,,Park Sul,202.0,4.0,7.0,4.0,22.0
480000.0,430.0,Asa Sul,48.0,2.0,1.0,0.0,26.0
530000.0,500.0,Asa Sul,43.0,1.0,1.0,0.0,9.0
1680000.0,,Sudoeste,126.0,3.0,3.0,1.0,26.0
2500000.0,,Asa Norte,213.0,3.0,4.0,2.0,12.0
3190000.0,2212.0,Park Sul,255.0,3.0,4.0,3.0,5.0
740000.0,667.0,Asa Norte,78.0,3.0,2.0,0.0,19.0
760000.0,471.0,Noroeste,48.0,1.0,1.0,1.0,13.0
1280000.0,1070.0,Noroeste,88.0,2.0,3.0,2.0,11.0
1600000.0,1500.0,Asa Sul,135.0,3.0,3.0,1.0,1.0
839000.0,1187.0,Lago Norte,84.0,2.0,2.0,1.0,19.0
990000.0,1000.0,Asa Sul,51.0,1.0,1.0,1.0,19.0
2150000.0,,Noroeste,155.0,4.0,6.0,2.0,12.0
760000.0,770.0,Asa Sul,49.0,1.0,1.0,1.0,3.0
760000.0,,Asa Sul,79.0,3.0,2.0,0.0,5.0
1280000.0,900.0,Asa Norte,109.0,3.0,2.0,1.0,24.0
800000.0,900.0,Asa Sul,60.0,2.0,2.0,0.0,26.0
1195000.0,,Noroeste,64.0,2.0,2.0,1.0,11.0
250000.0,360.0,Asa Norte,68.0,1.0,1.0,1.0,9.0
1330000.0,862.0,Guará,77.0,3.0,1.0,2.0,17.0
870000.0,,Noroeste,56.0,2.0,1.0,1.0,24.0
420000.0,,Noroeste,73.0,1.0,1.0,0.0,25.0
830000.0,770.0,Park Sul,60.0,1.0,2.0,1.0,1.0
360000.0,425.0,Guará II,76.0,2.0,2.0,0.0,21.0
4283497.0,,Sudoeste,241.0,4.0,6.0,4.0,8.0
550000.0,380.0,Asa Sul,67.0,2.0,1.0,0.0,13.0
270000.0,400.0,Asa Norte,29.0,1.0,1.0,1.0,13.0
795000.0,710.0,Asa Norte,68.0,2.0,2.0,0.0,18.0
460000.0,380.0,Park Sul,27.0,1.0,1.0,1.0,28.0
630000.0,,Cruzeiro,55.0,2.0,2.0,0.0,21.0
480000.0,,Asa Norte,66.0,2.0,1.0,0.0,15.0
334800.0,,Asa Norte,63.0,2.0,1.0,0.0,4.0
930000.0,765.0,Asa Norte,130.0,2.0,1.0,1.0,3.0
1170000.0,,Noroeste,71.0,2.0,3.0,1.0,24.0
250000.0,364.0,Sudoeste,64.0,1.0,1.0,0.0,2.0
315000.0,385.0,Águas Claras,32.0,1.0,1.0,1.0,25.0
1640000.0,850.0,Asa Norte,129.0,3.0,2.0,1.0,18.0
890000.0,900.0,Octogonal,117.0,2.0,2.0,1.0,24.0
724000.0,,Noroeste,58.0,1.0,1.0,1.0,25.0
2690000.0,2200.0,Sudoeste,230.0,4.0,4.0,4.0,27.0
2067921.0,,Park Sul,129.0,4.0,5.0,2.0,7.0
1015000.0,900.0,Sudoeste,80.0,2.0,2.0,1.0,27.0
450000.0,200.0,Asa Norte,50.0,1.0,1.0,0.0,13.0
2150000.0,4033.0,Asa Norte,140.0,2.0,3.0,3.0,9.0
1300000.0,830.0,Noroeste,148.0,2.0,2.0,2.0,13.0
1150000.0,,Noroeste,68.0,2.0,3.0,2.0,12.0
795000.0,700.0,Sudoeste,124.0,2.0,1.0,0.0,3.0
1228699.0,790.0,Park Sul,76.0,3.0,3.0,2.0,9.0
2149000.0,1300.0,Asa Norte,189.0,4.0,4.0,1.0,4.0
610000.0,380.0,Asa Sul,78.0,2.0,1.0,0.0,19.0
720000.0,1300.0,Asa Norte,49.0,1.0,2.0,1.0,26.0
610000.0,423.0,Águas Claras,61.0,2.0,2.0,1.0,23.0
325000.0,320.0,Asa Norte,28.0,1.0,1.0,1.0,12.0
2150000.0,1760.0,Asa Sul,165.0,4.0,3.0,1.0,27.0
1313688.0,,Park Sul,91.0,3.0,4.0,2.0,8.0
1350000.0,1050.0,Asa Norte,99.0,3.0,2.0,1.0,26.0
1200000.0,,Park Sul,79.0,2.0,2.0,2.0,20.0
965000.0,980.0,Águas Claras,103.0,3.0,3.0,2.0,4.0
680000.0,550.0,Asa Sul,53.0,2.0,1.0,0.0,4.0
1390000.0,900.0,Asa Sul,136.0,3.0,3.0,1.0,3.0
1400000.0,,Asa Norte,110.0,3.0,3.0,1.0,4.0
1390000.0,901.0,Asa Sul,136.0,3.0,2.0,1.0,24.0
3724097.0,,Sudoeste,186.0,4.0,6.0,4.0,9.0
2850000.0,2000.0,Noroeste,216.0,4.0,4.0,2.0,24.0
865000.0,550.0,Asa Norte,78.0,3.0,2.0,0.0,26.0
4569180.0,,Noroeste,301.0,4.0,6.0,4.0,8.0
2125153.0,,Sudoeste,126.0,3.0,5.0,2.0,4.0
590000.0,,Águas Claras,74.0,3.0,1.0,1.0,1.0
699000.0,,Águas Claras,76.0,1.0,2.0,1.0,25.0
240000.0,,Asa Norte,25.0,1.0,1.0,1.0,14.0
2520000.0,1210.0,Asa Sul,157.0,3.0,4.0,1.0,21.0
800000.0,490.0,Asa Sul,72.0,2.0,2.0,0.0,9.0
1050000.0,645.0,Asa Norte,96.0,3.0,2.0,0.0,19.0
724000.0,,Noroeste,58.0,1.0,1.0,1.0,24.0
650000.0,643.0,Noroeste,46.0,1.0,1.0,1.0,20.0
280000.0,359.0,Asa Norte,25.0,1.0,1.0,1.0,20.0
2490000.0,1480.0,Noroeste,142.0,3.0,5.0,2.0,3.0
285000.0,,Asa Norte,25.0,1.0,1.0,1.0,3.0
370000.0,,Setor Habitacional Jardins Mangueiral,50.0,2.0,1.0,1.0,11.0
375000.0,,Águas Claras,73.0,1.0,1.0,1.0,5.0
290000.0,302.0,Sudoeste,26.0,1.0,1.0,1.0,27.0
750000.0,694.0,Lago Norte,63.0,2.0,2.0,1.0,2.0
3500000.0,1296.0,Asa Norte,280.0,4.0,4.0,1.0,4.0
360000.0,436.0,Lago Norte,35.0,1.0,1.0,1.0,11.0
1370000.0,,Asa Sul,130.0,3.0,3.0,0.0,7.0
850000.0,,Sudoeste,82.0,2.0,2.0,1.0,25.0
350000.0,460.0,Sudoeste,41.0,1.0,1.0,0.0,30.0
1085000.0,820.0,Águas Claras,120.0,4.0,3.0,2.0,27.0
1149000.0,602.0,Noroeste,69.0,2.0,3.0,1.0,21.0
985000.0,772.0,Asa Sul,120.0,2.0,2.0,0.0,15.0
340000.0,,Asa Norte,28.0,1.0,1.0,1.0,27.0
800000.0,716.0,Asa Norte,74.0,2.0,2.0,1.0,27.0
