Price_BRL,Apt_Area_m2,Total_Rooms,Total_Baths,Garage_Spots_aux,Asa Sul,Cruzeiro,Guará,Guará II,Lago Norte,Lago Sul,Noroeste,Octogonal,Park Sul,Setor De Clubes Esportivos Sul,Setor Habitacional Jardins Mangueiral,Setor de Hotéis e Turismo Norte,Sobradinho,Sudoeste,Taguatinga,Águas Claras
878315.0,52.0,2.0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2250000.0,155.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400000.0,153.0,4.0,5.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1220000.0,83.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
280000.0,50.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3035736.0,205.0,4.0,7.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
680000.0,106.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1550000.0,237.0,4.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480000.0,98.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1240000.0,80.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1690000.0,134.0,3.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180000.0,83.0,2.0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
850000.0,85.0,3.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328246.0,172.0,3.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
384000.0,22.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
590000.0,59.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030000.0,128.0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000.0,85.0,2.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1891184.0,126.0,3.0,4.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720000.0,92.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1420000.0,100.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320076.0,172.0,4.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
670000.0,77.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780000.0,78.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229000.0,87.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1050000.0,96.0,3.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425000.0,30.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490000.0,196.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100000.0,153.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1670000.0,197.0,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3036605.0,185.0,3.0,5.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
299000.0,26.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589900.0,120.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550000.0,147.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
